episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,notify_novelty,pass,episode_type,trial_num,novelty_id,trial_type,level,num_repairs,repair_time
0,0,1,0,0,66490,FALSE,Pass,non-novelty-performance,0,2_8_0,non_repair_unknown,2,0,0
1,0,1,0,0,31450,FALSE,Pass,non-novelty-performance,0,2_8_0,non_repair_unknown,2,0,0
2,0,1,0,0,121670,FALSE,Pass,non-novelty-performance,0,2_8_0,non_repair_unknown,2,0,0
3,0,1,0,0,30430,FALSE,Fail,non-novelty-performance,0,2_8_0,non_repair_unknown,2,0,0
4,0,1,0,0,59440,FALSE,Pass,non-novelty-performance,0,2_8_0,non_repair_unknown,2,0,0
5,0,1,0,0,21940,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
6,0,1,0,0,34130,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
7,0,1,0,0,10600,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
8,0,1,0,0,25420,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
9,0,1,0,0,11490,FALSE,Pass,novelty,0,2_8_0,non_repair_unknown,2,0,0
10,0,1,0,0,51080,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
11,0,1,0,0,25290,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
12,0,1,0,0,19480,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
13,0,1,0,0,127760,FALSE,Pass,novelty,0,2_8_0,non_repair_unknown,2,0,0
14,0,1,0,0,27980,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
15,0,1,0,0,27080,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
16,0,1,0,0,35560,FALSE,Pass,novelty,0,2_8_0,non_repair_unknown,2,0,0
17,0,1,0,0,21660,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
18,0,1,0,0,2930,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
19,0,1,0,0,96720,FALSE,Pass,novelty,0,2_8_0,non_repair_unknown,2,0,0
20,0,1,0,0,20400,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
21,0,1,0,0,38810,FALSE,Pass,novelty,0,2_8_0,non_repair_unknown,2,0,0
22,0,1,0,0,22340,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
23,0,1,0,0,55370,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
24,0,1,0,0,35390,FALSE,Fail,novelty,0,2_8_0,non_repair_unknown,2,0,0
0,0,1,0,0,89800,FALSE,Pass,non-novelty-performance,1,2_8_1,non_repair_known,2,0,0
1,0,1,0,0,47290,FALSE,Pass,non-novelty-performance,1,2_8_1,non_repair_known,2,0,0
2,0,1,0,0,18550,FALSE,Fail,non-novelty-performance,1,2_8_1,non_repair_known,2,0,0
3,0,1,0,0,22690,FALSE,Fail,non-novelty-performance,1,2_8_1,non_repair_known,2,0,0
4,0,1,0,0,32920,FALSE,Fail,non-novelty-performance,1,2_8_1,non_repair_known,2,0,0
5,0,1,0,0,49820,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
6,0,1,0,0,24780,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
7,0,1,0,0,51470,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
8,0,1,0,0,17510,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
9,0,1,0,0,49500,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
10,0,1,0,0,22860,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
11,0,1,0,0,36050,FALSE,Pass,novelty,1,2_8_1,non_repair_known,2,0,0
12,0,1,0,0,13000,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
13,0,1,0,0,49560,FALSE,Pass,novelty,1,2_8_1,non_repair_known,2,0,0
14,0,1,0,0,35610,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
15,0,1,0,0,52150,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
16,0,1,0,0,104360,FALSE,Pass,novelty,1,2_8_1,non_repair_known,2,0,0
17,0,1,0,0,31750,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
18,0,1,0,0,46350,FALSE,Pass,novelty,1,2_8_1,non_repair_known,2,0,0
19,0,1,0,0,129570,FALSE,Pass,novelty,1,2_8_1,non_repair_known,2,0,0
20,0,1,0,0,20440,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
21,0,1,0,0,10720,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
22,0,1,0,0,63070,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
23,0,1,0,0,23090,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0
24,0,1,0,0,34330,FALSE,Fail,novelty,1,2_8_1,non_repair_known,2,0,0